#,stock,link,market,ISIN,profile,detailspresent,withinstudy,covidstudy,industry,subindustry,2019accounts,2021accounts,UsedForENG,YahooFinanceURL,checkvs2021yahoo
1,4aim Sicaf Comparto 2 Crowdfunding,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005440323.html?lang=it,Euronext Growth Milan,IT0005440323,,N,,N,na,na,,,,https://finance.yahoo.com/quote/AIM2.MI?p=AIM2.MI&.tsrc=fin-srch,
2,A.B.P. Nocivelli,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005439861.html?lang=it,Euronext Growth Milan,IT0005439861,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005439861&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/ABP.MI?p=ABP.MI&.tsrc=fin-srch,
3,A2a,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001233417.html?lang=it,Euronext Milan,IT0001233417,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001233417&lang=it,Y,,Y,Utenze,Utenze,EN,EN,Y,https://finance.yahoo.com/quote/A2A.MI?p=A2A.MI&.tsrc=fin-srch,included
4,Aatech,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005548521.html?lang=it,Euronext Growth Milan,IT0005548521,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005548521&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/AAT.MI?p=AAT.MI&.tsrc=fin-srch,
5,Abc Company,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005466294.html?lang=it,Euronext Growth Milan - Segmento Professionale,IT0005466294,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005466294&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/ABC.MI,
6,Abitare In,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005445280.html?lang=it,Euronext STAR Milan,IT0005445280,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005445280&lang=it,Y,,Y,Beni voluttuari,Servizi e prodotti di consumo,IT,EN,,https://finance.yahoo.com/quote/ABT.MI?p=ABT.MI&.tsrc=fin-srch,
7,Acea,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001207098.html?lang=it,Euronext Milan,IT0001207098,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001207098&lang=it,Y,,Y,Utenze,Utenze,EN,EN,Y,https://finance.yahoo.com/quote/ACE.MI?p=ACE.MI&.tsrc=fin-srch,included
8,Acinque,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001382024.html?lang=it,Euronext Milan,IT0001382024,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001382024&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/AC5.MI?p=AC5.MI&.tsrc=fin-srch,
9,Acquazzurra,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005443061.html?lang=it,Euronext Growth Milan - Segmento Professionale,IT0005443061,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005443061&lang=it,Y,,Y,na,na,IT,IT,,na,
10,Adidas,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE000A1EWWW0.html?lang=it,Global Equity Market,DE000A1EWWW0,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE000A1EWWW0&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/ADS.DE?p=ADS.DE&.tsrc=fin-srch,
11,Advanced Micro Devices,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US0079031078.html?lang=it,Global Equity Market,US0079031078,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US0079031078&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AMD?p=AMD&.tsrc=fin-srch,
12,Aeffe,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001384590.html?lang=it,Euronext STAR Milan,IT0001384590,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001384590&lang=it,Y,,N,Beni voluttuari,Servizi e prodotti di consumo,,,,https://finance.yahoo.com/quote/AEF.MI?p=AEF.MI&.tsrc=fin-srch,
13,Aegon,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/NL0000303709.html?lang=it,Global Equity Market,NL0000303709,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=NL0000303709&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AGN.AS?p=AGN.AS&.tsrc=fin-srch,
14,Aeroporto Guglielmo Marconi Di Bologna,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001006128.html?lang=it,Euronext STAR Milan,IT0001006128,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001006128&lang=it,Y,,N,Industria,Beni e servizi industriali,,,,https://finance.yahoo.com/quote/ADB.MI?p=ADB.MI&.tsrc=fin-srch,
15,Agatos,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005421919.html?lang=it,Euronext Growth Milan,IT0005421919,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005421919&lang=it,Y,,Y,na,na,IT,IT,,na,
16,"Agatos 4,75 pcnt Cv 2017-2026",https://www.borsaitaliana.it/borsa/azioni/obbligazioni-convertibili/scheda/IT0005256059.html?lang=it,Euronext Growth Milan,IT0005256059,,N,,N,na,na,,,,na,
17,Ageas,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/BE0974264930.html?lang=it,Global Equity Market,BE0974264930,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=BE0974264930&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AGS.BR?p=AGS.BR&.tsrc=fin-srch,
18,Ahold Del,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/NL0011794037.html?lang=it,Global Equity Market,NL0011794037,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=NL0011794037&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AD.AS?p=AD.AS&.tsrc=fin-srch,
19,Air France-Klm,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000031122.html?lang=it,Global Equity Market,FR0000031122,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=FR0000031122&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AF.PA?p=AF.PA&.tsrc=fin-srch,
20,Airbus,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/NL0000235190.html?lang=it,Global Equity Market,NL0000235190,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=NL0000235190&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AIR.PA?p=AIR.PA&.tsrc=fin-srch,
21,Ala,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005446700.html?lang=it,Euronext Growth Milan,IT0005446700,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005446700&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/ALA.MI?p=ALA.MI&.tsrc=fin-srch,
22,Alerion,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004720733.html?lang=it,Euronext Milan,IT0004720733,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004720733&lang=it,Y,,Y,Utenze,Utenze,EN,EN,Y,https://finance.yahoo.com/quote/ARN.MI?p=ARN.MI&.tsrc=fin-srch,included
23,Alfio Bardolla,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005244030.html?lang=it,Euronext Growth Milan,IT0005244030,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005244030&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/ABTG.MI?p=ABTG.MI&.tsrc=fin-srch,
24,Alfonsino,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005466039.html?lang=it,Euronext Growth Milan,IT0005466039,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005466039&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/ALFO.MI?p=ALFO.MI&.tsrc=fin-srch,
25,Algowatt,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004359037.html?lang=it,Euronext Milan,IT0004359037,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004359037&lang=it,Y,,N,Utenze,https://finance.yahoo.com/quote/ALW.MI?p=ALW.MI&.tsrc=fin-srch,,,,https://finance.yahoo.com/quote/ALW.MI?p=ALW.MI&.tsrc=fin-srch,
26,Alkemy,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005314635.html?lang=it,Euronext STAR Milan,IT0005314635,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005314635&lang=it,Y,,Y,Beni voluttuari,Media,EN,EN,Y,https://finance.yahoo.com/quote/ALK.MI?p=ALK.MI&.tsrc=fin-srch,included
27,Allcore,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005461303.html?lang=it,Euronext Growth Milan,IT0005461303,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005461303&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/CORE.MI?p=CORE.MI&.tsrc=fin-srch,
28,Allianz,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0008404005.html?lang=it,Global Equity Market,DE0008404005,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE0008404005&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/ALV.DE?p=ALV.DE&.tsrc=fin-srch,
29,Almawave,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005434615.html?lang=it,Euronext Growth Milan,IT0005434615,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005434615&lang=it,Y,,Y,na,na,IT,EN,,https://finance.yahoo.com/quote/AIW.MI?p=AIW.MI&.tsrc=fin-srch,
30,Alphabet Classe A,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US02079K3059.html?lang=it,Global Equity Market,US02079K3059,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US02079K3059&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/GOOGLCL.SN?p=GOOGLCL.SN&.tsrc=fin-srch,
31,Alphabet Classe C,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US02079K1079.html?lang=it,Global Equity Market,US02079K1079,,N,,outofscope,na,na,,,,https://finance.yahoo.com/quote/GOOG?p=GOOG&.tsrc=fin-srch,
32,Altea Green Power,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005472730.html?lang=it,Euronext Growth Milan,IT0005472730,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005472730&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/AGP.MI?p=AGP.MI&.tsrc=fin-srch,
33,Amazon,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US0231351067.html?lang=it,Global Equity Market,US0231351067,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US0231351067&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AMZN?p=AMZN&.tsrc=fin-srch,
34,Ambromobiliare,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0004779515.html?lang=it,Euronext Growth Milan,IT0004779515,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004779515&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/AMB.MI?p=AMB.MI&.tsrc=fin-srch,
35,Amgen,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US0311621009.html?lang=it,Global Equity Market,US0311621009,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US0311621009&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AMGN?p=AMGN&.tsrc=fin-srch,
36,Amplifon,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004056880.html?lang=it,Euronext STAR Milan,IT0004056880,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004056880&lang=it,Y,,Y,Assistenza sanitaria,Assistenza sanitaria,EN,EN,Y,https://finance.yahoo.com/quote/AMP.MI?p=AMP.MI&.tsrc=fin-srch,included
37,Anheuser-Busch,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/BE0974293251.html?lang=it,Global Equity Market,BE0974293251,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=BE0974293251&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/ABI.BR?p=ABI.BR&.tsrc=fin-srch,
38,Anima Holding,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004998065.html?lang=it,Euronext Milan,IT0004998065,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004998065&lang=it,Y,,Y,Finanza,Servizi Finanziari,EN,EN,Y,https://finance.yahoo.com/quote/ANIM.MI?p=ANIM.MI&.tsrc=fin-srch,bankassfin
39,Antares Vision,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005366601.html?lang=it,Euronext STAR Milan,IT0005366601,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005366601&lang=it,Y,,Y,Industria,Beni e servizi industriali,EN,EN,Y,https://finance.yahoo.com/quote/AV.MI?p=AV.MI&.tsrc=fin-srch,included
40,Apple,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US0378331005.html?lang=it,Global Equity Market,US0378331005,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US0378331005&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AAPL?p=AAPL&.tsrc=fin-srch,
41,Aquafil,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005241192.html?lang=it,Euronext STAR Milan,IT0005241192,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005241192&lang=it,Y,,N,Materie prime,Sostanze chimiche,,,,https://finance.yahoo.com/quote/ECNL.MI?p=ECNL.MI&.tsrc=fin-srch,
42,Ariston Holding,https://www.borsaitaliana.it/borsa/azioni/scheda/NL0015000N33.html?lang=it,Euronext Milan,NL0015000N33,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=NL0015000N33&lang=it,Y,,outofscope,Industria,https://finance.yahoo.com/quote/ARIS.MI?p=ARIS.MI&.tsrc=fin-srch,,,,https://finance.yahoo.com/quote/ARIS.MI?p=ARIS.MI&.tsrc=fin-srch,
43,Arterra Bioscience,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005386369.html?lang=it,Euronext Growth Milan,IT0005386369,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005386369&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/ARBS.MI?p=ARBS.MI&.tsrc=fin-srch,
44,Ascopiave,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004093263.html?lang=it,Euronext STAR Milan,IT0004093263,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004093263&lang=it,Y,,N,Utenze,https://finance.yahoo.com/quote/ASC.MI?p=ASC.MI&.tsrc=fin-srch,,,,https://finance.yahoo.com/quote/ASC.MI?p=ASC.MI&.tsrc=fin-srch,
45,Askoll Eva,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005337123.html?lang=it,Euronext Growth Milan,IT0005337123,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005337123&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/META?p=META&.tsrc=fin-srch,
46,Asml,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/NL0010273215.html?lang=it,Global Equity Market,NL0010273215,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=NL0010273215&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/ASML.AS?p=ASML.AS&.tsrc=fin-srch,
47,Aton Green Storage,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005449464.html?lang=it,Euronext Growth Milan,IT0005449464,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005449464&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/ATON.MI?p=ATON.MI&.tsrc=fin-srch,
48,Autogrill Spa,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001137345.html?lang=it,Euronext Milan,IT0001137345,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001137345&lang=it,Y,,Y,na,na,EN,EN,N,na,
49,Autostrade Merid,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0000084043.html?lang=it,Euronext Milan,IT0000084043,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0000084043&lang=it,Y,,N,Industria,Beni e servizi industriali,,,,https://finance.yahoo.com/quote/AUTME.MI?p=AUTME.MI&.tsrc=fin-srch,
50,Avio,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005119810.html?lang=it,Euronext STAR Milan,IT0005119810,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005119810&lang=it,Y,,N,Industria,Beni e servizi industriali,,,,https://finance.yahoo.com/quote/AVIO.MI?p=AVIO.MI&.tsrc=fin-srch,
51,Axa,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000120628.html?lang=it,Global Equity Market,FR0000120628,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=FR0000120628&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/CS.PA?p=CS.PA&.tsrc=fin-srch,
52,Azimut,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003261697.html?lang=it,Euronext Milan,IT0003261697,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0003261697&lang=it,Y,,Y,Finanza,Servizi Finanziari,EN,EN,Y,https://finance.yahoo.com/quote/AZM.MI?p=AZM.MI&.tsrc=fin-srch,bankassfin
53,B.F.,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005187460.html?lang=it,Euronext Milan,IT0005187460,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005187460&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/BFG.MI?p=BFG.MI&.tsrc=fin-srch,
54,B&C Speakers,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001268561.html?lang=it,Euronext STAR Milan,IT0001268561,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001268561&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/BEC.MI?p=BEC.MI&.tsrc=fin-srch,
55,Banca Generali,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001031084.html?lang=it,Euronext Milan,IT0001031084,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001031084&lang=it,Y,,Y,Finanza,Banche,EN,EN,Y,https://finance.yahoo.com/quote/BGN.MI?p=BGN.MI&.tsrc=fin-srch,bankassfin
56,Banca Ifis,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003188064.html?lang=it,Euronext STAR Milan,IT0003188064,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0003188064&lang=it,Y,,N,Finanza,https://finance.yahoo.com/quote/IF.MI?p=IF.MI&.tsrc=fin-srch,,,,https://finance.yahoo.com/quote/IF.MI?p=IF.MI&.tsrc=fin-srch,
57,Banca Mediolanum,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004776628.html?lang=it,Euronext Milan,IT0004776628,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004776628&lang=it,Y,,N,Finanza,Servizi Finanziari,,,,https://finance.yahoo.com/quote/BMED.MI?p=BMED.MI&.tsrc=fin-srch,
58,Banca Monte Paschi Siena,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005508921.html?lang=it,Euronext Milan,IT0005508921,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005508921&lang=it,Y,,Y,Finanza,Banche,EN,EN,Y,https://finance.yahoo.com/quote/BMPS.MI?p=BMPS.MI&.tsrc=fin-srch,bankassfin
59,Banca Sistema,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003173629.html?lang=it,Euronext STAR Milan,IT0003173629,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0003173629&lang=it,Y,,Y,Finanza,Banche,EN,EN,Y,https://finance.yahoo.com/quote/BST.MI?p=BST.MI&.tsrc=fin-srch,bankassfin
60,Banco Bpm,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005218380.html?lang=it,Euronext Milan,IT0005218380,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005218380&lang=it,Y,,Y,Finanza,Banche,EN,EN,Y,https://finance.yahoo.com/quote/BAMI.MI?p=BAMI.MI&.tsrc=fin-srch,bankassfin
61,Banco Santander,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/ES0113900J37.html?lang=it,Global Equity Market,ES0113900J37,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=ES0113900J37&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/SAN.MC?p=SAN.MC&.tsrc=fin-srch,
62,Basf,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE000BASF111.html?lang=it,Global Equity Market,DE000BASF111,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE000BASF111&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/BAS.DE?p=BAS.DE&.tsrc=fin-srch,
63,Basicnet,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001033700.html?lang=it,Euronext Milan,IT0001033700,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001033700&lang=it,Y,,N,Beni voluttuari,Rivenditori,,,,https://finance.yahoo.com/quote/BAN.MI?p=BAN.MI&.tsrc=fin-srch,
64,Bastogi Spa,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004412497.html?lang=it,Euronext Milan,IT0004412497,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004412497&lang=it,Y,,Y,Industria,Beni e servizi industriali,IT,IT,,https://finance.yahoo.com/quote/B.MI?p=B.MI&.tsrc=fin-srch,
65,Bayer,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE000BAY0017.html?lang=it,Global Equity Market,DE000BAY0017,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE000BAY0017&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/BAYN.DE?p=BAYN.DE&.tsrc=fin-srch,
66,Bb Biotech,https://www.borsaitaliana.it/borsa/azioni/scheda/CH0038389992.html?lang=it,Euronext STAR Milan,CH0038389992,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=CH0038389992&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/BION.SW?p=BION.SW&.tsrc=fin-srch,
67,Bbva,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/ES0113211835.html?lang=it,Global Equity Market,ES0113211835,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=ES0113211835&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/BBVA.MC?p=BBVA.MC&.tsrc=fin-srch,
68,Bca Pop Sondrio,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0000784196.html?lang=it,Euronext Milan,IT0000784196,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0000784196&lang=it,Y,,Y,Finanza,Banche,EN,EN,Y,https://finance.yahoo.com/quote/BPSO.MI?p=BPSO.MI&.tsrc=fin-srch,bankassfin
69,Bca Profilo,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001073045.html?lang=it,Euronext Milan,IT0001073045,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001073045&lang=it,Y,,N,Finanza,Banche,,,,https://finance.yahoo.com/quote/PRO.MI?p=PRO.MI&.tsrc=fin-srch,
70,Bco Desio Brianza,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001041000.html?lang=it,Euronext Milan,IT0001041000,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001041000&lang=it,Y,,Y,na,na,EN,EN,Y,https://finance.yahoo.com/quote/BDB.MI?p=BDB.MI&.tsrc=fin-srch,bankassfin
71,Beewize,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001487047.html?lang=it,Euronext Milan,IT0001487047,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001487047&lang=it,Y,,Y,Tecnologia,Tecnologia,IT,IT,,https://finance.yahoo.com/quote/BWZ.MI?p=BWZ.MI&.tsrc=fin-srch,
72,Beghelli,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001223277.html?lang=it,Euronext Milan,IT0001223277,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001223277&lang=it,Y,,Y,Industria,Beni e servizi industriali,IT,IT,,https://finance.yahoo.com/quote/BE.MI?p=BE.MI&.tsrc=fin-srch,
73,Beiersdorf,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0005200000.html?lang=it,Global Equity Market,DE0005200000,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE0005200000&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/BEI.DE?p=BEI.DE&.tsrc=fin-srch,
74,Bellini Nautica,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005497042.html?lang=it,Euronext Growth Milan,IT0005497042,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005497042&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/BELL.MI?p=BELL.MI&.tsrc=fin-srch,
75,Best Buy Co,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US0865161014.html?lang=it,Global Equity Market,US0865161014,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US0865161014&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/BBY?p=BBY&.tsrc=fin-srch,
